iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
80,0.7428906720066795,0.04134384604939064,0.8721889043088422,0.01673438403959323,0.4336630758477901,0.0714223289062161,0.270077309709017,0.017295411036818274
81,0.7461225032660103,0.03777843754177753,0.8716572962893088,0.016530641957534096,0.4329267326251654,0.07011370548892112,0.26861595288146217,0.017922869823052336
82,0.7440801804313646,0.040836291614015016,0.8723299720153384,0.014833392735990209,0.43249515746000783,0.06985711770333652,0.2667301399193226,0.017322638758314433
83,0.7519978767463921,0.03709624249293442,0.8721710135925893,0.015966062105858082,0.4326175498202215,0.07037284471216346,0.26553458122617773,0.017120014985402755
84,0.7498779593981635,0.04189758075883294,0.873841262721012,0.015102391983500675,0.4320616149295372,0.07221111736643897,0.2638351922791632,0.01686521866380859
85,0.7483672826637016,0.037230300387163635,0.8762405850854392,0.015640774136405328,0.4339849914489468,0.06935114612291246,0.26230911575216814,0.01674802288141137
86,0.7483672826637016,0.037230300387163635,0.8761288133128847,0.014275448237850706,0.4339074612524854,0.06946189334327446,0.2613577156448131,0.01701012032859686
87,0.7534850894752106,0.031075323422476344,0.8769858555332799,0.014897280122647513,0.4353018749739196,0.06982849718974489,0.2600526344020884,0.017304816824658502
88,0.7534850894752106,0.031075323422476344,0.8774126184364134,0.015887546277748514,0.43342740286750725,0.06856150755591724,0.2591039899606424,0.017649561192176193
89,0.7553919262211811,0.032771686682928805,0.8794779440891964,0.014095827163034083,0.4329977182777677,0.06933594761427304,0.2579092907235282,0.017219797181022883
90,0.7553919262211811,0.032771686682928805,0.8817535902024162,0.015543883604816863,0.43372466917379915,0.06970579684529313,0.25641355425813434,0.018265170500693807
91,0.7553919262211811,0.032771686682928805,0.8822912986773919,0.0156627068765393,0.4328480931653568,0.07016011718737607,0.2557769484424735,0.01795525822947725
92,0.7611934115575502,0.027965901999801833,0.8833890162569504,0.01574195646174568,0.432513379300511,0.06990783663939977,0.2547712763813079,0.018448593820484874
93,0.7577561515110729,0.02904183202724563,0.8855126265783049,0.015294367724409442,0.4327325043363167,0.06957916501193011,0.2531124033450507,0.01754705951834153
